time,state_name,state_abbr,units_total_thousand
2024-05,Illinois,IL,1.77
2024-05,Indiana,IN,2.069
2024-05,Iowa,IA,0.849
2024-05,Kansas,KS,0.857
2024-05,Kentucky,KY,1.265
2024-05,Louisiana,LA,1.286
2024-05,Maine,ME,0.661
2024-05,Maryland,MD,1.615
2024-05,Massachusetts,MA,1.064
2024-05,Michigan,MI,2.065
2024-05,Minnesota,MN,2.092
2024-05,Mississippi,MS,0.697
2024-05,Missouri,MO,1.362
2024-05,Montana,MT,0.389
2024-05,Nebraska,NE,1.23
2024-05,Nevada,NV,1.881
2024-05,New Hampshire,NH,0.462
2024-05,New Jersey,NJ,2.686
2024-05,New Mexico,NM,0.74
2024-05,New York,NY,2.771
2024-05,North Carolina,NC,8.525
2024-05,North Dakota,ND,0.196
2024-05,Ohio,OH,2.845
2024-05,Oklahoma,OK,1.182
2024-05,Oregon,OR,1.304
2024-05,Pennsylvania,PA,2.467
2024-05,Rhode Island,RI,0.097
2024-05,South Carolina,SC,4.521
2024-05,South Dakota,SD,0.548
2024-05,Tennessee,TN,4.981
2024-05,Texas,TX,18.401
2024-05,Utah,UT,2.081
2024-05,Vermont,VT,0.296
2024-05,Virginia,VA,3.364
2024-05,Washington,WA,3.276
2024-05,West Virginia,WV,0.386
2024-05,Wisconsin,WI,2.367
2024-05,Wyoming,WY,0.229
2024-06,Alabama,AL,1.503
2024-06,Alaska,AK,0.075
2024-06,Arizona,AZ,5.351
2024-06,Arkansas,AR,1.145
2024-06,California,CA,9.363
2024-06,Colorado,CO,2.532
2024-06,Connecticut,CT,0.328
2024-06,Delaware,DE,0.579
2024-06,District of Columbia,DC,0.088
2024-06,Florida,FL,15.739
2024-06,Georgia,GA,5.755
2024-06,Hawaii,HI,0.324
2024-06,Idaho,ID,1.414
2024-06,Illinois,IL,1.69
2024-06,Indiana,IN,2.412
2024-06,Iowa,IA,1.061
2024-06,Kansas,KS,0.647
2024-06,Kentucky,KY,1.17
2024-06,Louisiana,LA,1.252
2024-06,Maine,ME,0.589
2024-06,Maryland,MD,1.371
2024-06,Massachusetts,MA,1.475
2024-06,Michigan,MI,1.759
2024-06,Minnesota,MN,1.983
2024-06,Mississippi,MS,0.664
2024-06,Missouri,MO,1.92
2024-06,Montana,MT,0.534
2024-06,Nebraska,NE,0.542
2024-06,Nevada,NV,1.84
2024-06,New Hampshire,NH,0.407
2024-06,New Jersey,NJ,2.865
2024-06,New Mexico,NM,0.807
2024-06,New York,NY,3.526
2024-06,North Carolina,NC,8.368
2024-06,North Dakota,ND,0.418
2024-06,Ohio,OH,3.277
2024-06,Oklahoma,OK,1.069
2024-06,Oregon,OR,1.757
2024-06,Pennsylvania,PA,2.319
2024-06,Rhode Island,RI,0.092
2024-06,South Carolina,SC,4.189
2024-06,South Dakota,SD,0.443
2024-06,Tennessee,TN,3.218
2024-06,Texas,TX,18.062
2024-06,Utah,UT,2.058
2024-06,Vermont,VT,0.196
2024-06,Virginia,VA,2.677
2024-06,Washington,WA,2.387
2024-06,West Virginia,WV,0.318
2024-06,Wisconsin,WI,1.955
2024-06,Wyoming,WY,0.143
2024-07,Alabama,AL,1.456
2024-07,Alaska,AK,0.057
2024-07,Arizona,AZ,5.003
2024-07,Arkansas,AR,1.051
2024-07,California,CA,8.518
2024-07,Colorado,CO,2.489
2024-07,Connecticut,CT,0.467
2024-07,Delaware,DE,0.465
2024-07,District of Columbia,DC,0.149
2024-07,Florida,FL,15.414
2024-07,Georgia,GA,5.054
2024-07,Hawaii,HI,0.275
2024-07,Idaho,ID,1.45
2024-07,Illinois,IL,1.497
2024-07,Indiana,IN,2.179
2024-07,Iowa,IA,1.284
2024-07,Kansas,KS,0.634
2024-07,Kentucky,KY,1.227
2024-07,Louisiana,LA,1.347
2024-07,Maine,ME,0.536
2024-07,Maryland,MD,1.345
2024-07,Massachusetts,MA,1.015
2024-07,Michigan,MI,1.732
2024-07,Minnesota,MN,1.964
2024-07,Mississippi,MS,0.692
2024-07,Missouri,MO,1.558
2024-07,Montana,MT,0.571
2024-07,Nebraska,NE,0.967
2024-07,Nevada,NV,1.653
2024-07,New Hampshire,NH,0.536
2024-07,New Jersey,NJ,3.032
2024-07,New Mexico,NM,0.749
2024-07,New York,NY,4.144
2024-07,North Carolina,NC,8.956
2024-07,North Dakota,ND,0.212
2024-07,Ohio,OH,2.456
2024-07,Oklahoma,OK,1.137
2024-07,Oregon,OR,1.276
2024-07,Pennsylvania,PA,2.042
2024-07,Rhode Island,RI,0.151
2024-07,South Carolina,SC,4.605
2024-07,South Dakota,SD,0.533
2024-07,Tennessee,TN,3.564
2024-07,Texas,TX,19.859
2024-07,Utah,UT,1.779
2024-07,Vermont,VT,0.344
2024-07,Virginia,VA,3.217
2024-07,Washington,WA,3.081
2024-07,West Virginia,WV,0.38
2024-07,Wisconsin,WI,2.241
2024-07,Wyoming,WY,0.188
2024-08,Alabama,AL,1.759
2024-08,Alaska,AK,0.064
2024-08,Arizona,AZ,4.919
2024-08,Arkansas,AR,1.188
2024-08,California,CA,8.905
2024-08,Colorado,CO,2.062
2024-08,Connecticut,CT,0.463
2024-08,Delaware,DE,0.532
2024-08,District of Columbia,DC,0.054
2024-08,Florida,FL,15.666
2024-08,Georgia,GA,5.75
2024-08,Hawaii,HI,0.256
2024-08,Idaho,ID,1.602
2024-08,Illinois,IL,2.217
2024-08,Indiana,IN,2.647
2024-08,Iowa,IA,1.142
2024-08,Kansas,KS,1.036
2024-08,Kentucky,KY,1.763
2024-08,Louisiana,LA,1.25
2024-08,Maine,ME,0.599
2024-08,Maryland,MD,1.444
