time,state_name,state_abbr,units_total_thousand
2020-05,Kansas,KS,0.593
2020-05,Kentucky,KY,1.09
2020-05,Louisiana,LA,1.2
2020-05,Maine,ME,0.396
2020-05,Maryland,MD,1.55
2020-05,Massachusetts,MA,1.347
2020-05,Michigan,MI,1.538
2020-05,Minnesota,MN,2.451
2020-05,Mississippi,MS,0.86
2020-05,Missouri,MO,1.403
2020-05,Montana,MT,0.471
2020-05,Nebraska,NE,0.565
2020-05,Nevada,NV,1.122
2020-05,New Hampshire,NH,0.242
2020-05,New Jersey,NJ,1.821
2020-05,New Mexico,NM,0.31
2020-05,New York,NY,2.5
2020-05,North Carolina,NC,5.341
2020-05,North Dakota,ND,0.24
2020-05,Ohio,OH,2.142
2020-05,Oklahoma,OK,0.755
2020-05,Oregon,OR,1.268
2020-05,Pennsylvania,PA,1.968
2020-05,Rhode Island,RI,0.098
2020-05,South Carolina,SC,2.731
2020-05,South Dakota,SD,0.514
2020-05,Tennessee,TN,3.699
2020-05,Texas,TX,15.919
2020-05,Utah,UT,2.226
2020-05,Vermont,VT,0.138
2020-05,Virginia,VA,3.233
2020-05,Washington,WA,4.557
2020-05,West Virginia,WV,0.287
2020-05,Wisconsin,WI,1.676
2020-05,Wyoming,WY,0.165
2020-06,Alabama,AL,1.684
2020-06,Alaska,AK,0.147
2020-06,Arizona,AZ,5.394
2020-06,Arkansas,AR,0.967
2020-06,California,CA,8.844
2020-06,Colorado,CO,3.644
2020-06,Connecticut,CT,0.382
2020-06,Delaware,DE,0.624
2020-06,District of Columbia,DC,1.025
2020-06,Florida,FL,12.709
2020-06,Georgia,GA,4.278
2020-06,Hawaii,HI,0.366
2020-06,Idaho,ID,1.441
2020-06,Illinois,IL,1.48
2020-06,Indiana,IN,2.286
2020-06,Iowa,IA,1.417
2020-06,Kansas,KS,0.537
2020-06,Kentucky,KY,1.215
2020-06,Louisiana,LA,1.751
2020-06,Maine,ME,0.607
2020-06,Maryland,MD,1.423
2020-06,Massachusetts,MA,1.76
2020-06,Michigan,MI,1.807
2020-06,Minnesota,MN,3.016
2020-06,Mississippi,MS,0.861
2020-06,Missouri,MO,1.522
2020-06,Montana,MT,0.305
2020-06,Nebraska,NE,0.822
2020-06,Nevada,NV,1.437
2020-06,New Hampshire,NH,0.391
2020-06,New Jersey,NJ,3.329
2020-06,New Mexico,NM,0.46
2020-06,New York,NY,3.832
2020-06,North Carolina,NC,7.052
2020-06,North Dakota,ND,0.433
2020-06,Ohio,OH,2.486
2020-06,Oklahoma,OK,1.223
2020-06,Oregon,OR,1.511
2020-06,Pennsylvania,PA,2.2
2020-06,Rhode Island,RI,0.151
2020-06,South Carolina,SC,3.624
2020-06,South Dakota,SD,0.741
2020-06,Tennessee,TN,3.994
2020-06,Texas,TX,17.601
2020-06,Utah,UT,2.305
2020-06,Vermont,VT,0.234
2020-06,Virginia,VA,3.034
2020-06,Washington,WA,3.398
2020-06,West Virginia,WV,0.362
2020-06,Wisconsin,WI,1.697
2020-06,Wyoming,WY,0.19
2020-07,Alabama,AL,2.037
2020-07,Alaska,AK,0.135
2020-07,Arizona,AZ,5.758
2020-07,Arkansas,AR,1.102
2020-07,California,CA,10.35
2020-07,Colorado,CO,4.117
2020-07,Connecticut,CT,0.501
2020-07,Delaware,DE,0.823
2020-07,District of Columbia,DC,0.414
2020-07,Florida,FL,13.053
2020-07,Georgia,GA,4.552
2020-07,Hawaii,HI,0.261
2020-07,Idaho,ID,1.399
2020-07,Illinois,IL,1.973
2020-07,Indiana,IN,2.518
2020-07,Iowa,IA,1.484
2020-07,Kansas,KS,1.034
2020-07,Kentucky,KY,0.984
2020-07,Louisiana,LA,1.554
2020-07,Maine,ME,0.566
2020-07,Maryland,MD,1.294
2020-07,Massachusetts,MA,1.515
